category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	80/2663	227/9497	0.352422907488987	1.25683828480019	2.4448446669515	0.00994192737120885	0.0320350993072285	0.0194768752593858	2782/5293/2475/1870/3716/5567/148327/3570/10000/3265/3709/6667/4193/5829/5925/54331/5604/91860/11214/51764/7249/115/5579/5595/113/2775/4775/1398/6774/3690/5578/5608/2885/2788/2767/5605/84699/5566/5296/208/9138/6654/5534/3554/1385/23236/5332/3588/637/3708/5894/1232/2932/111/5291/59345/5156/5530/108/5295/340061/1871/6891/6892/3710/115004/2768/9586/107/1956/2770/1021/2792/6009/5533/2185/114/5747/2776/7186	80
Metabolism	Glycan biosynthesis and metabolism	hsa00514	Other types of O-glycan biosynthesis	21/2663	47/9497	0.446808510638298	1.59344364458577	2.5458391268728	0.0106644204015628	0.0336159358192984	0.02043800090647	6487/23127/2590/374378/100528030/8693/50614/57452/29954/2589/79709/79623/84620/114805/442117/51809/55568/3955/56913/64409/10585	21
Human Diseases	Cancer: specific types	hsa05211	Renal cell carcinoma	29/2663	70/9497	0.414285714285714	1.47745829086422	2.50274241885964	0.0107118255297157	0.0336159358192984	0.02043800090647	5293/998/5906/54583/10000/8453/3265/5058/2113/7043/5604/6923/1387/5595/1398/2885/5605/5296/208/6654/7039/57144/2033/5894/5291/2549/5295/4233/2889	29
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	124/2663	370/9497	0.335135135135135	1.1951852716404	2.39057475611761	0.0107223243561555	0.0336159358192984	0.02043800090647	2563/3362/1269/4985/2899/1907/5737/1141/79957/134/183/1131/2894/2834/6343/1815/5024/2915/10888/2893/1813/2900/100169851/2904/5027/5025/3356/5729/2562/2558/2567/1139/1133/6755/2903/7442/5026/9340/136/5697/1394/2905/59340/2922/2587/84634/718/117579/2901/2696/728/2359/85569/5443/3973/6344/1134/5746/1144/1146/51052/4923/2897/6753/8484/706/79924/2917/5021/3269/7433/165829/9934/2565/2555/2560/2895/6870/1909/2743/2891/59350/8001/51289/5618/2690/3360/2890/147/2561/2566/2568/2914/3062/2570/2898/2911/4988/4142/2692/117/387129/799/2918/1129/5644/148/1135/5368/4986/6019/6013/9568/116443/1902/727/2902/2742/2925/3358/186/2892/2564/2556	124
Organismal Systems	Digestive system	hsa04971	Gastric acid secretion	31/2663	76/9497	0.407894736842105	1.45466628456233	2.48410239658738	0.011006015168147	0.034197261415314	0.0207914384285484	5567/3776/1131/3784/3709/91860/115/5579/113/482/5578/5566/478/23236/5332/3772/3708/111/4638/817/108/340156/3710/7430/60/816/107/2770/1080/114/2776	31
Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	69/2663	193/9497	0.357512953367876	1.27499080665968	2.40924201121781	0.0111467955468441	0.0343281845159446	0.020871037772852	2782/5590/5293/998/5567/10451/5906/10000/56288/2869/3265/156/5058/5829/6011/54331/5604/51764/115/5579/5595/113/6361/5336/1398/409/6777/6774/2885/25759/2788/5566/5296/208/2931/6654/6772/23236/5332/3055/5335/57580/7074/5894/1524/1232/2932/111/5291/59345/108/5295/1794/1235/9844/107/6369/2770/2792/5294/2185/4067/114/5747/3717/2776/53358/7410/7454	69
Organismal Systems	Digestive system	hsa04970	Salivary secretion	38/2663	97/9497	0.391752577319588	1.39709884596475	2.4537991643705	0.0112583137497276	0.0343674840781159	0.0208949313360596	5567/493/1131/5592/3778/727897/5554/5542/3709/4069/4842/6263/91860/115/5579/113/482/4025/5578/5566/478/23236/5332/3708/491/111/952/5593/108/6558/147/3710/107/55503/148/114/2776/492	38
Metabolism	Lipid metabolism	hsa00561	Glycerolipid metabolism	27/2663	65/9497	0.415384615384615	1.48137727837315	2.43085368108793	0.012987478685849	0.0393012398493516	0.0238945832114933	8613/223/196051/57104/160851/3990/8612/129642/23175/8527/56894/80339/11343/1608/1609/154141/56895/1607/231/9162/55326/4023/137964/8694/10555/139189/2717	27
Metabolism	Lipid metabolism	hsa00565	Ether lipid metabolism	22/2663	51/9497	0.431372549019608	1.53839470448337	2.40646941293506	0.0145901237443128	0.0437703712329385	0.0266117502051441	5322/391013/8613/5321/144110/56994/5319/122618/255189/8399/79153/5048/284161/8612/8605/151056/9514/8398/5337/133121/79888/5168	22
Organismal Systems	Sensory system	hsa04744	Phototransduction	14/2663	29/9497	0.482758620689655	1.72165175392026	2.42949491697064	0.0161642542056169	0.0480782945602964	0.0292309050411966	2782/6011/9187/91860/1258/3000/5957/8787/2779/9626/5158/5145/118142757/2792	14
Organismal Systems	Digestive system	hsa04976	Bile secretion	35/2663	90/9497	0.388888888888889	1.38688613510243	2.30195748200874	0.0164821013032538	0.0486082309621383	0.02955309867934	5567/1244/6343/28234/115072896/10599/949/10257/6555/6554/115/113/482/8714/5566/478/64241/64240/57835/6344/8647/6523/111/10720/574537/10941/6550/108/3781/107/5243/1080/114/570/6256	35
